lon,lat
-7.882965,55.147935
-7.894887,55.146877
-7.894887,55.140082
-7.876536,55.14053
-7.865224,55.138495
-7.856435,55.138983
-7.846506,55.146877
-7.834706,55.164984
-7.837554,55.175849
-7.860097,55.194648
-7.866119,55.214911
-7.85025,55.2272
-7.823964,55.238593
-7.798695,55.25609
-7.796051,55.251044
-7.795033,55.250881
-7.791249,55.248684
-7.814198,55.20185
-7.815745,55.194648
-7.81371,55.192857
-7.810455,55.188707
-7.805572,55.184149
-7.798695,55.180976
-7.789784,55.180854
-7.779937,55.187445
-7.770741,55.188422
-7.757314,55.18476
-7.736643,55.176663
-7.7176,55.166571
-7.709299,55.157131
-7.707387,55.153469
-7.698557,55.140367
-7.695627,55.133205
-7.695953,55.126044
-7.70108,55.10814
-7.702504,55.099066
-7.694732,55.108059
-7.678822,55.134467
-7.671702,55.140082
-7.668202,55.147203
-7.674713,55.163031
-7.684071,55.178534
-7.688832,55.184719
-7.690338,55.194525
-7.695058,55.207465
-7.703603,55.218451
-7.716054,55.22191
-7.723948,55.214586
-7.721995,55.200263
-7.715403,55.184882
-7.709299,55.17414
-7.723134,55.175727
-7.732818,55.181464
-7.741038,55.188625
-7.750234,55.194648
-7.779652,55.199652
-7.791737,55.206
-7.788157,55.218573
-7.760854,55.250434
-7.760854,55.25609
-7.725087,55.252672
-7.709299,55.25609
-7.673492,55.273871
-7.660878,55.276557
-7.643951,55.272773
-7.63329,55.263088
-7.625315,55.25316
-7.616526,55.248684
-7.611399,55.2414
-7.613189,55.225775
-7.617502,55.210598
-7.619944,55.204901
-7.614491,55.19599
-7.601471,55.189276
-7.572743,55.180976
-7.572255,55.169176
-7.564117,55.155748
-7.55248,55.14468
-7.541412,55.140082
-7.527821,55.132554
-7.525787,55.116156
-7.531606,55.099677
-7.541412,55.092231
-7.556386,55.089748
-7.568227,55.083686
-7.586415,55.071112
-7.641021,55.050686
-7.641021,55.04385
-7.581166,55.050442
-7.561838,55.044501
-7.572743,55.023383
-7.584584,55.016059
-7.634185,54.995429
-7.667551,54.968207
-7.681386,54.961249
-7.681386,54.954413
-7.661488,54.957953
-7.643381,54.965277
-7.548451,55.018459
-7.537994,55.019924
-7.529368,55.030707
-7.509267,55.035956
-7.486318,55.039252
-7.469106,55.04385
-7.456166,55.056138
-7.450022,55.072333
-7.454416,55.086249
-7.472768,55.092231
-7.477528,55.096381
-7.473378,55.105455
-7.46288,55.119534
-7.46288,55.143459
-7.470041,55.145168
-7.510081,55.180976
-7.533681,55.192369
-7.541412,55.198065
-7.545644,55.204779
-7.54955,55.215399
-7.549387,55.225165
-7.527089,55.236762
-7.516225,55.254136
-7.51358,55.274359
-7.524322,55.290269
-7.507395,55.28913
-7.492747,55.285346
-7.478586,55.283922
-7.46288,55.290269
-7.465566,55.293606
-7.46642,55.295844
-7.46703,55.298651
-7.469106,55.3039
-7.449208,55.294013
-7.427968,55.286566
-7.405914,55.286933
-7.367787,55.310614
-7.347524,55.314276
-7.327504,55.308498
-7.312082,55.290269
-7.33316,55.289618
-7.339955,55.290269
-7.320872,55.282172
-7.298818,55.276272
-7.276601,55.275824
-7.256744,55.284003
-7.320668,55.3133
-7.350697,55.335191
-7.353017,55.358547
-7.379547,55.367662
-7.391591,55.373725
-7.400217,55.380276
-7.384429,55.386379
-7.366322,55.383979
-7.332509,55.372789
-7.26358,55.358547
-7.247304,55.357164
-7.208852,55.34512
-7.195424,55.338609
-7.144154,55.293647
-7.129058,55.285834
-7.079335,55.27265
-7.0419,55.268866
-6.99649,55.257717
-6.975697,55.248684
-6.953521,55.25434
-6.939565,55.239081
-6.942779,55.218573
-6.972564,55.208319
-7.00064,55.205146
-7.034088,55.196845
-7.065745,55.184963
-7.099762,55.165473
-7.132314,55.155463
-7.159495,55.150784
-7.172841,55.1435
-7.216624,55.108344
-7.232289,55.091864
-7.244985,55.073432
-7.2471,55.069322
-7.256744,55.050686
-7.240956,55.050279
-7.195424,55.058051
-7.17748,55.056952
-7.133901,55.04385
-7.099477,55.040961
-7.065053,55.04385
-7.0537,55.048733
-7.03189,55.064927
-7.017201,55.071112
-7.017812,55.08397
-7.009918,55.10224
-6.997955,55.118638
-6.98648,55.125718
-6.974924,55.135443
-6.968658,55.18065
-6.962554,55.194648
-6.946685,55.19538
-6.903554,55.178656
-6.883778,55.17414
-6.754506,55.177802
-6.640452,55.208319
-6.571278,55.211249
-6.554514,55.218573
-6.539174,55.230658
-6.519846,55.240668
-6.498118,55.247138
-6.475942,55.248684
-6.440012,55.236029
-6.415924,55.231879
-6.378163,55.246243
-6.352895,55.242621
-6.255849,55.210883
-6.239817,55.208319
-6.217641,55.210395
-6.179555,55.219713
-6.160024,55.22191
-6.120839,55.217841
-6.100982,55.212388
-6.092397,55.204901
-6.084218,55.202216
-6.047231,55.178534
-6.037099,55.167914
-6.040639,55.112047
-6.047434,55.095649
-6.062082,55.074123
-6.054351,55.065131
-6.03539,55.063625
-6.016672,55.064276
-6.003529,55.063178
-5.988678,55.059475
-5.975738,55.053046
-5.968251,55.04385
-5.970204,55.025824
-5.988271,54.988674
-5.986236,54.981757
-5.957143,54.978949
-5.930328,54.970893
-5.906606,54.957953
-5.886342,54.940823
-5.881988,54.934027
-5.875234,54.917914
-5.869252,54.910386
-5.862782,54.905951
-5.847035,54.898139
-5.839182,54.893012
-5.829986,54.885159
-5.820953,54.875067
-5.813954,54.862779
-5.811187,54.848334
-5.800526,54.820746
-5.775258,54.81151
-5.745595,54.804592
-5.721832,54.783759
-5.715647,54.783759
-5.733754,54.805243
-5.797597,54.84455
-5.781728,54.861721
-5.751617,54.856879
-5.720611,54.84101
-5.701975,54.824693
-5.689849,54.793118
-5.692616,54.765204
-5.706899,54.742987
-5.729319,54.728502
-5.758901,54.719916
-5.81843,54.709621
-5.845367,54.701239
-5.87149,54.687323
-5.890736,54.672309
-5.914337,54.646837
-5.927235,54.632961
-5.915151,54.628241
-5.910959,54.619452
-5.909983,54.610541
-5.907379,54.605618
-5.894887,54.604804
-5.887278,54.609809
-5.881988,54.616156
-5.871002,54.622301
-5.848785,54.643215
-5.839019,54.649726
-5.803822,54.659613
-5.769521,54.674628
-5.747955,54.680406
-5.732411,54.676988
-5.716624,54.669867
-5.694692,54.668687
-5.574696,54.68008
-5.569,54.676947
-5.556711,54.662787
-5.547109,54.659613
-5.53661,54.657457
-5.533274,54.651679
-5.532786,54.643215
-5.5301,54.632961
-5.514394,54.597886
-5.502553,54.583482
-5.485707,54.577704
-5.478912,54.569485
-5.47289,54.530097
-5.468617,54.516262
-5.437082,54.48786
-5.430776,54.485175
-5.437571,54.475653
-5.436513,54.470201
-5.433461,54.466254
-5.433827,54.461005
-5.438832,54.454901
-5.458119,54.437405
-5.464263,54.425238
-5.457387,54.408677
-5.461171,54.392076
-5.470855,54.384345
-5.483998,54.37759
-5.489125,54.369574
-5.474843,54.358588
-5.489573,54.353705
-5.502024,54.339667
-5.515777,54.33808
-5.527659,54.345282
-5.536977,54.35928
-5.547109,54.379096
-5.55899,54.382636
-5.569488,54.391506
-5.57665,54.402777
-5.57844,54.413804
-5.571685,54.425605
-5.548695,54.442816
-5.543691,54.457831
-5.547353,54.489081
-5.558013,54.511908
-5.575307,54.528998
-5.644887,54.567776
-5.671864,54.576809
-5.701975,54.577704
-5.701975,54.570787
-5.694651,54.561103
-5.697418,54.551215
-5.706044,54.54267
-5.715647,54.536689
-5.701527,54.536322
-5.690419,54.53205
-5.681508,54.526842
-5.674062,54.523668
-5.636952,54.52204
-5.6256,54.516262
-5.641916,54.512641
-5.66393,54.510199
-5.670318,54.505683
-5.639963,54.495754
-5.644765,54.48371
-5.644602,54.472113
-5.638499,54.463568
-5.6256,54.461005
-5.626698,54.456692
-5.628,54.453803
-5.633127,54.447333
-5.6256,54.441107
-5.653554,54.388983
-5.661448,54.379584
-5.697906,54.362291
-5.708852,54.351752
-5.668324,54.360663
-5.622141,54.376654
-5.579701,54.383694
-5.550526,54.365424
-5.540679,54.327338
-5.553049,54.298529
-5.579498,54.275702
-5.61262,54.255561
-5.617177,54.254788
-5.628529,54.256537
-5.633127,54.255561
-5.639963,54.235053
-5.64684,54.232164
-5.655751,54.229682
-5.663401,54.230862
-5.666656,54.238837
-5.678822,54.246161
-5.736887,54.249091
-5.779449,54.246527
-5.822662,54.237209
-5.842275,54.235053
-5.86205,54.230536
-5.868031,54.218492
-5.866038,54.184149
-5.865834,54.180487
-5.86852,54.161322
-5.874623,54.14053
-5.883209,54.120754
-5.893788,54.104682
-5.911977,54.091295
-5.953847,54.078681
-5.984731,54.059312
-6.027252,54.040229
-6.040517,54.036444
-6.079579,54.034573
-6.095448,54.036363
-6.112904,54.043891
-6.112904,54.050116
-6.093007,54.055894
-6.08495,54.056952
-6.161529,54.073717
-6.174306,54.074286
-6.185862,54.092678
-6.212554,54.098456
-6.242502,54.099758
-6.263661,54.104682
-6.269887,54.097927
-6.269887,54.097886
-6.207021,54.061713
-6.191396,54.056952
-6.184316,54.053778
-6.169911,54.039618
-6.163808,54.036444
-6.142486,54.035224
-6.13386,54.033352
-6.126536,54.030219
-6.107289,54.013617
-6.110992,54.001288
-6.143544,53.97842
-6.160756,53.974433
-6.185536,53.979722
-6.209096,53.988593
-6.222768,53.995429
-6.23705,53.993842
-6.307037,54.011868
-6.359853,54.016018
-6.359853,54.00849
-6.347808,54.003607
-6.353871,53.994208
